#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
1,USA,98166904,1084282.0,94962112.0,2120510.0,2970.0,293206.0,3239.0,1118158870.0,3339729.0,334805269.0
2,India,44587307,528629.0,44019095.0,39583.0,698.0,31698.0,376.0,894416853.0,635857.0,1406631776.0
3,France,35342950,155078.0,34527115.0,660757.0,869.0,538892.0,2365.0,271490188.0,4139547.0,65584518.0
4,Brazil,34706757,686027.0,33838636.0,182094.0,8318.0,161162.0,3186.0,63776166.0,296146.0,215353593.0
5,Germany,33312373,149948.0,32315200.0,847225.0,1406.0,397126.0,1788.0,122332384.0,1458359.0,83883596.0
6,S. Korea,24769101,28406.0,24013461.0,727234.0,352.0,482547.0,553.0,15804065.0,307892.0,51329899.0
7,UK,23621952,189919.0,23347871.0,84162.0,146.0,344857.0,2773.0,522526476.0,7628357.0,68497907.0
8,Italy,22432803,177054.0,21779604.0,476145.0,141.0,372250.0,2938.0,246636495.0,4092684.0,60262770.0
9,Japan,21229216,44678.0,20380089.0,804449.0,204.0,169043.0,356.0,76201407.0,606772.0,125584838.0
10,Russia,20948470,387163.0,19979763.0,581544.0,2300.0,143674.0,2655.0,273400000.0,1875095.0,145805947.0
11,Turkey,16873793,101139.0,16754301.0,18353.0,975.0,197211.0,1182.0,162743369.0,1902052.0,85561976.0
12,Spain,13412263,114084.0,13218892.0,79287.0,339.0,287083.0,2442.0,471036328.0,10082298.0,46719142.0
13,Vietnam,11477886,43148.0,10590917.0,843821.0,106.0,115993.0,436.0,85826548.0,867342.0,98953541.0
14,Australia,10209239,14984.0,10133494.0,60761.0,49.0,391627.0,575.0,78835048.0,3024116.0,26068792.0
15,Argentina,9708420,129897.0,9563348.0,15175.0,294.0,211006.0,2823.0,35716069.0,776264.0,46010234.0
16,Netherlands,8422336,22643.0,8362464.0,37229.0,35.0,489345.0,1316.0,21107399.0,1226358.0,17211447.0
17,Iran,7548320,144421.0,7325370.0,78529.0,157.0,87748.0,1679.0,54095556.0,628851.0,86022837.0
18,Mexico,7084488,330065.0,6353953.0,400470.0,4798.0,53849.0,2509.0,18393211.0,139806.0,131562772.0
19,Indonesia,6429767,158093.0,6253317.0,18357.0,2771.0,23035.0,566.0,108656989.0,389264.0,279134505.0
20,Taiwan,6417941,11003.0,5603195.0,803743.0,18.0,268661.0,461.0,25998416.0,1088319.0,23888595.0
