,chinese_yuan,euro,japanese_yen,uk_pound,us_dollar,algerian_dinar,australian_dollar,bahrain_dinar,botswana_pula,brazilian_real,brunei_dollar,canadian_dollar,chilean_peso,colombian_peso,czech_koruna,danish_krone,hungarian_forint,icelandic_krona,indian_rupee,indonesian_rupiah,iranian_rial,israeli_new_shekel,kazakhstani_tenge,korean_won,kuwaiti_dinar,libyan_dinar,malaysian_ringgit,mauritian_rupee,mexican_peso,nepalese_rupee,new_zealand_dollar,norwegian_krone,omani_rial,pakistani_rupee,peruvian_sol,philippine_peso,polish_zloty,qatari_riyal,russian_ruble,saudi_arabian_riyal,singapore_dollar,south_african_rand,sri_lankan_rupee,swedish_krona,swiss_franc,thai_baht,trinidadian_dollar,tunisian_dinar,uae_dirham,uruguayan_peso,bolivar_fuerte
2004-01-02,,0.7941550190597204,,0.5599731212901781,1.0,,1.3285505513484788,0.376,,2.8884,1.6995,1.29,,2778.21,25.731,5.9126,,,45.59,,8302.086337,,,1194.3,,,,,11.0885,74.04,,6.6657,0.3845,57.41555,,,3.7327,3.64,,3.75,1.6995,6.675,96.9667,7.2,,,,,3.6725,,
2004-01-05,8.277,0.790076637433831,106.9,0.5556790397866193,1.0,,1.310615989515072,0.376,4.3261951113995245,2.8854,1.6999,1.2803,587.69,2777.96,25.575,5.884,206.83,70.28,45.62,8432.0,8267.091828,,,1195.5,,1.932367,3.8,26.0107,,74.04,1.5076134479119554,6.6414,0.3845,57.41555,,,,3.64,29.4545,3.75,1.6999,6.36,97.3079,7.16,1.2302,39.381,,,3.6725,,
2004-01-06,8.2771,0.7839448102853559,106.25,0.549178977428744,1.0,,1.3041210224308815,0.376,4.354452427607229,2.8619,1.6991,1.2819,579.43,2778.92,25.383,5.8384,203.9,69.49,45.62,8365.0,8270.080152,4.371,,,0.2947,1.932367,3.8,25.9623,10.9686,74.04,1.4942099364960777,6.7153,0.3845,57.41555,,,3.6707,3.64,29.245,3.75,1.6991,6.475,97.6067,,1.23,39.204,6.2607,,3.6725,,
2004-01-07,8.2772,0.7887057338906853,106.24,0.5512679162072767,1.0,,1.3025921583952065,0.376,4.418912947414936,2.85,1.6973,1.2882,565.18,2765.76,25.525,5.874,206.92,69.97,45.63,8348.0,8315.390671,4.395,,1187.9,0.2947,1.932367,3.8,25.8173,10.9044,74.04,1.4956625785222855,6.7588,0.3845,57.41555,,,3.6938,3.64,29.245,3.75,1.6973,,,7.1675,1.2386,39.059,6.2738,,3.6725,,
2004-01-08,8.2772,0.791514959632737,106.15,0.5518154729058603,1.0,,1.302252897512697,0.376,4.464285714285714,2.8715,1.6975,1.2788,567.83,2758.83,25.618,5.8953,209.57,70.38,45.54,8367.0,8312.152525,4.394,,1187.4,0.2947,1.932367,3.8,25.8107,10.8847,74.04,1.4916467780429594,,0.3845,57.41555,,,3.7078,3.64,,3.75,1.6975,6.64,97.8253,7.215,1.2468,39.017,,,3.6725,,
2004-01-09,8.277,0.7851142341210646,107.55,0.5445140212360469,1.0,,1.2899896800825594,0.376,4.501462975467027,2.858,1.6946,1.2692,,2750.89,25.524,5.8474,211.55,69.81,45.5,8343.0,8265.285139,4.383,,1183.3,,1.932367,3.8,25.8302,10.8376,,,6.7893,0.3845,57.41555,,,3.6845,3.64,28.9918,3.75,1.6946,6.735,97.9721,7.1625,1.2286,39.022,6.2492,,3.6725,,
2004-01-12,8.277,0.7795447458684129,,0.5398693516169087,1.0,,1.284191601386927,0.376,4.4414834554741285,2.8414,1.6917,1.2736,560.51,2754.33,25.403,5.806,209.53,69.11,45.42,8330.0,8251.490099,4.384,,1182.9,0.2947,1.932367,3.8,25.7188,10.818,74.04,1.4681054099684356,6.7092,0.3845,57.41555,,,3.6456,3.64,28.8711,3.75,1.6917,6.74,97.7025,7.075,1.2172,38.91,,,3.6725,,
2004-01-13,8.2768,0.7843752451172642,106.53,0.5420054200542006,1.0,,1.2850167052171677,0.376,4.594532506317482,2.8155,1.6945,1.2729,559.21,2754.33,25.536,5.8424,211.01,69.63,45.43,8323.0,8321.756466,4.395,,1178.5,0.2947,1.932367,3.8,25.7078,10.8369,,1.4712373105781964,6.7213,0.3845,57.41555,,,3.6868,3.64,28.8841,3.75,1.6945,6.96,98.0062,7.1625,1.2275,38.899,6.2455,,3.6725,,
2004-01-14,8.2768,0.7878978884336589,106.22,0.5446623093681917,1.0,,1.2876641771825907,0.376,4.678362573099415,2.8014,1.6934,1.2869,563.65,2762.31,25.669,5.8683,210.46,69.76,45.41,8327.0,8319.204148,4.405,,1179.9,0.2947,1.932367,3.8,25.7812,10.8231,74.04,1.4671361502347418,6.7499,0.3845,57.41555,,,3.7363,3.64,28.8691,3.75,1.6934,7.2,97.9895,7.2375,1.231,38.961,6.2784,,3.6725,,
2004-01-15,8.2767,0.7914523149980214,106.25,0.5483658697082693,1.0,,1.2923235978288963,0.376,4.682744088035589,2.8134,1.695,1.2979,572.08,2747.06,25.815,5.8948,210.48,69.66,45.43,8350.0,8322.89843,4.415,,1180.2,0.2947,1.932367,3.8,25.7208,10.8514,73.82,1.470912701331176,6.7602,0.3845,57.41555,,,3.7433,3.64,28.8795,3.75,1.695,7.16,,7.26,1.238,39.016,6.2762,,3.6725,,
2004-01-16,8.2767,0.8004482510205715,106.1,0.5520287054926856,1.0,,1.2973533990659054,0.376,4.75963826749167,2.8118,1.6994,1.2978,569.56,2723.83,26.191,5.9622,213.82,70.05,45.45,8363.0,8360.14688,4.401,,1187.4,,1.932367,3.8,25.7425,10.8172,,1.48720999405116,6.8847,0.3845,57.41555,,,3.7823,3.64,28.8795,3.75,1.6994,7.33,98.0921,7.34,1.2535,38.997,6.2792,,3.6725,,
2004-01-19,,0.8082114281095935,106.55,0.5599417660563302,1.0,,1.3192612137203166,0.376,,2.8176,1.7081,1.3021,,2728.7,26.515,6.0198,,69.74,45.41,8365.0,,4.421,,1187.1,0.2947,1.932367,3.8,25.6767,,73.8,,6.9559,0.3845,57.41435,,,3.8165,3.64,28.7961,3.75,1.7081,7.27,98.1755,7.4175,1.2706,39.046,6.2759,,3.6725,,
2004-01-20,8.277,0.797702616464582,107.5,0.5531585352361986,1.0,,1.3201320132013201,0.376,4.731488052992666,2.8411,1.7125,1.2862,572.69,2728.7,26.252,5.9403,211.77,69.27,45.42,8390.0,,4.427,,1185.7,0.2947,1.932367,3.8,25.6758,10.847,73.8,,6.8638,0.3845,,,,3.7951,3.64,28.7853,3.75,1.7125,7.27,98.249,7.36,1.257,39.068,6.2539,,3.6725,,
2004-01-21,8.2771,0.7932101213611487,107.18,0.5463286713286714,1.0,,1.2990387113535982,0.376,4.6522447080716445,2.8374,1.7025,1.3009,567.13,2730.75,26.002,5.9072,208.64,68.81,45.39,8396.0,8310.111542,4.422,,,0.2947,1.932367,3.8,25.6297,10.9521,,,6.8533,0.3845,57.41435,,,3.7334,3.64,28.8026,3.75,1.7025,7.115,98.3798,7.27,1.243,39.038,6.2755,,3.6725,,
2004-01-22,8.2771,0.7867820613690009,106.88,0.5423581733376722,1.0,,1.2933264355923435,0.376,4.63070155128502,2.8409,,1.2967,564.83,2740.76,25.849,5.8607,207.19,68.48,45.4,,8315.379384,,,,0.2947,1.932367,3.8,,11.0012,73.8,,6.7215,0.3845,57.41435,,,3.7033,3.64,,3.75,,7.085,98.7568,7.2025,1.2344,39.027,6.2528,,3.6725,,
2004-01-23,8.2771,0.7878978884336589,106.2,0.5412426932236415,1.0,,1.2865045670912132,0.376,4.662004662004662,2.8409,,1.3119,565.76,2742.88,25.98,5.8695,206.13,68.12,45.36,8391.0,8299.943603,4.438,,,,1.932367,3.8,25.617,10.962,,,6.7704,0.3845,57.41435,,,3.6765,3.64,28.5514,3.75,,7.135,98.4443,7.15,1.2302,39.083,6.2652,,3.6725,,
2004-01-26,8.2771,0.7952286282306162,106.22,0.5470758794244761,1.0,,,0.376,4.704775346977182,2.8427,1.6965,1.3136,573.19,2747.72,26.199,5.9237,208.88,68.88,,8425.0,8409.047995,4.457,,1188.6,0.2947,1.932367,3.8,25.5972,10.9178,73.795,1.4892032762472078,6.8501,0.3845,57.41435,,,3.74,3.64,28.4963,3.75,1.6965,7.23,98.365,7.29,1.2457,39.276,6.267,,3.6725,,
